# area is unused, just a reminder for roughly where the monsters will be. Remove it later											
#area*	id	name	image	description	hp	attacks[]	dexterity	defense	experience	speed	flags[]
area1	green kimodo	green kimodo	green kimodo	A giant Komodo dragon. It is about 10 feet long and has a venomous bite.	20	2d4	3	2	5	0	boss
area1	purple spider	purple spider	purple spider	A large and powerful amathyst spider with bright yellow eyes.	25	1d5	3	2	5	0	boss
area2	novice mage	novice mage	novice mage	He is fumbling with his spell books.	10	1d5	3	2	5	0	
area2	novice warrior	novice warrior	novice warrior	An inexperienced but tough warrior.	15	1d5	3	2	5	0	
area2	novice archer	novice archer	novice archer	He just completed archery training.	12	1d5	3	2	5	0	
area2	novice rogue	novice rogue	novice rogue	A shifty individual.	12	1d5	3	2	5	0	
area2	red ant	red ant	red ant	A fire ant, about 3 feet long, with burning pincers.	6	1d5	3	2	5	1	
area2	cobra	cobra	cobra	A large snake with a hooded face, coiling as you approach.	10	1d5	3	2	5	-1	
area2	green centipede	green centipede	green centipede	It is 4 feet long and carnivorous.	7	1d5	3	2	5	0	
area2	pincer beetle	pincer beetle	pincer beetle	It is a giant brown beetle that clicks its mandibles in anticipation of prey.	8	1d5	3	2	5	0	
area2	dust devil	dust devil	dust devil	A whirling vortex of sand - watch out if you’re wearing contacts!	7	1d5	3	2	5	2	erratic
area2	jackal	jackal	jackal	It is a yapping snarling dog, dangerous when in a pack.	7	1d5	3	2	5	1	
area2	brown scorpion	brown scorpion	brown scorpion	It is a large scorpion with a sharp stinger.	10	1d5	3	2	5	0	
area2	blue ooze	blue ooze	blue ooze	It’s blue and it’s oozing.	6	1d5	3	2	5	-3	
area2	great turtle	great turtle	great turtle	A thunderous and ancient tortoise, with a strong carapace and surprising agility.	20	1d5	3	2	5	-1	boss
area2	minotaur	minotaur	minotaur	A cross between a human and a bull. He has the skulls of other adventurers around his belt.	30	1d5	3	2	5	1	boss
area3	rabbit mage	rabbit mage	rabbit mage	This rabbit humanoid is a sly magician.	16	1d5	3	2	5	0	
area3	rabbit warrior	rabbit warrior	rabbit warrior	It is a rabbit humanoid versed in the art of war.	24	1d5	3	2	5	0	
area3	rabbit archer	rabbit archer	rabbit archer	It is a rabbit humanoid ready with bow and arrows.	19	1d5	3	2	5	0	
area3	rabbit rogue	rabbit rogue	rabbit rogue	A rabbit humanoid that eyes your purse. He has a sharp dagger.	19	1d5	3	2	5	0	
area3	purple beetle	purple beetle	purple beetle	A purple beetle caustic bite and hard carapace.	9	1d5	3	2	5	1	erratic
area3	blue snake	blue snake	blue snake	A huge 12-foot python, covered in an intricate blue scales.	15	1d5	3	2	5	-2	
area3	black spider	black spider	black spider	A giant tarantula with large hairy legs and glowing red ees.	12	1d5	3	2	5	1	
area3	green imp	green imp	green imp	A mischievous creature.	15	1d5	3	2	5	2	
area3	small red spiny	small red spiny	small red spiny	An unusual lizard with a horn, covered with sharp spines.	25	1d5	3	2	5	0	
area3	rock lizard	rock lizard	rock lizard	A lizard with a hardened hide.	20	1d5	3	2	5	0	
area1	yellow worm mass	yellow worm mass	yellow worm mass	It is a large slimy mass of green worms.	15	1d5	3	2	5	0	
area3	yellow schweinhund	yellow schweinhund	yellow schweinhund	A yellow schweinhund with sharp fangs and a long tail.	35	1d5	3	2	5	1	boss
area3	Balthazar the Great	Balthazar the Great	Balthazar the Great	Balthazar is one of the world’s greatest kobold swordsmen, known for his feats at the battle of Arignor.	50	1d5	3	2	5	0	boss
area4	dark elf mage	dark elf mage	dark elf mage	A dark elven figure, dressed all in black, hurling spells at you.	25	1d5	3	2	5	0	
area4	dark elf warrior	dark elf warrior	dark elf warrior	A dark elven figure in armour and ready with his sword.	38	1d5	3	2	5	0	
area4	dark elf archer	dark elf archer	dark elf archer	A dark elven figure armed with a longbow.	30	1d5	3	2	5	0	
area4	dark elf rogue	dark elf rogue	dark elf rogue	A dark elven figure armed with a short sword, ready to slit your throat.	30	1d5	3	2	5	0	
area4	baby blue dragon	baby blue dragon	baby blue dragon	Its still-tender scales are deep blue in hue. Icy blasts of cold air come from it as it breathes.	40	1d5	3	2	5	0	
area4	baby yellow dragon	baby yellow dragon	baby yellow dragon	Its still-tender scales are deep yellow in hue. Acid drips from its claws.	40	1d5	3	2	5	0	
area4	blue beetle	blue beetle	blue beetle	It is a giant beetle with vicious ice-cold claws.	15	1d5	3	2	5	0	
area4	gray wolf	gray wolf	gray wolf	It is a large wolf with eyes full of cunning.	20	1d5	3	2	5	2	
area4	bear	bear	bear	A large bear appears to have made its home in this cave. It is hungry, and you are trespassing in its territory.	35	1d5	3	2	5	0	
area4	white wolf	white wolf	white wolf	A large and muscled wolf from the northern wastes. Its breath is cold and icy and its fur coated in frost.	20	1d5	3	2	5	2	
area4	big red spiny	big red spiny	big red spiny	A great lizard with a horn, sharp spines, and a spiked tail.	35	1d5	3	2	5	0	
area4	frost giant	frost giant	frost giant	A twelve foot tall giant covered in furs.	40	1d5	3	2	5	-1	
area4	Hagar the Merciless	Hagar the Merciless	Hagar the Merciless	Hagar, warrior-king from the East, is legendary for his skill in combat and excessive cruelty.	60	1d5	3	2	5	0	boss
area4	ice creature	ice creature	ice creature	It is a towering glacier of ice, moving inexorably towards you.	75	1d5	3	2	5	0	boss
area5	orc mage	orc mage	orc mage	An orc dressed in skins who gestures wildly.	40	1d5	3	2	5	0	
area5	orc warrior	orc warrior	orc warrior	An armoured orc with an air of authority.	60	1d5	3	2	5	0	
area5	orc archer	orc archer	orc archer	An orc archer who moves with confidence.	48	1d5	3	2	5	0	
area5	orc rogue	orc rogue	orc rogue	A cunning and devious orc with a chaotic nature.	48	1d5	3	2	5	0	
area5	baby green dragon	baby green dragon	baby green dragon	Its still-tender scales are deep green in hue. Poison seeps through its scales.	50	1d5	3	2	5	2	
area5	baby red dragon	baby red dragon	baby red dragon	Its still-tender scales are deep red in hue. Heat radiates from its form.	50	1d5	3	2	5	2	
area5	gold dragonfly	gold dragonfly	gold dragonfly	Large beating wings support this dazzling insect.	30	1d5	3	2	5	3	erratic
area5	purple worms	purple worms	purple worms	It is a large slimy mass of purple worms.	35	1d5	3	2	5	1	
area5	golem	golem	golem	It is a massive animated statue.	60	1d5	3	2	5	0	
area5	griffin	griffin	griffin	A legendary creature with the body, and back legs of a lion and the head and wings of an eagle.	45	1d5	3	2	5	0	
area5	chess knight	chess knight	chess knight	This strange creature always moves in the shape of an L, jumping over obstacles.	50	1d5	3	2	5	0	knightmove
area5	copperhead snake	copperhead snake	copperhead snake	It has a copper head and sharp venomous fangs.	40	1d5	3	2	5	-2	
area5	Lor the Betrayer	Lor the Betrayer	Lor the Betrayer	Lor, heir to the throne of Undor, killed his father and betrayed his kingdom for his lust for gold.	80	1d5	3	2	5	3	boss
area5	basilisk	basilisk	basilisk	A vile reptile that preys on unsuspecting travellers. Its eyes stare deeply at you and your soul starts to wilt!	120	1d5	3	2	5	0	boss
area6	skeleton mage	skeleton mage	skeleton mage	A skeleton mage. Power seems to crackle from his frame.	63	1d5	3	2	5	0	
area6	skeleton warrior	skeleton warrior	skeleton warrior	A skeleton warrior of considerable skill.	95	1d5	3	2	5	0	
area6	skeleton archer	skeleton archer	skeleton archer	A skeleton archer wielding arrows tipped with rusty iron.	76	1d5	3	2	5	0	
area6	skeleton rogue	skeleton rogue	skeleton rogue	A skeleton rogue. He moves stealthily and his eyes gleam with evil intent.	76	1d5	3	2	5	0	
area6	mummy	mummy	mummy	It is a human form encased in mouldy wrappings.	70	1d5	3	2	5	-1	
area6	blue ghost	blue ghost	blue ghost	A figure that seems made of void. Its strangely human shape is cloaked in shadow.	80	1d5	3	2	5	0	
area6	pink ghost	pink ghost	pink ghost	It is a ghostly form with eyes that haunt you, and a shriek that pierces to your bones.	70	1d5	3	2	5	0	
area6	vampire	vampire	vampire	It is a humanoid with an aura of power. You notice a sharp set of front teeth.	90	1d5	3	2	5	2	
area6	evil eye	evil eye	evil eye	A globular body with a large toothy mouth, a large central eye, and three smaller eyes on stalks protruding from the top of its body.	60	1d5	3	2	5	1	
monster	floating skull	floating skull	floating skull	A glowing skull possessed by sorcerous power. It need not move, but merely blast you with mighty magic as it speaks the words of power.	50	1d5	3	2	5	2	stationary
monster	vampire bat	vampire bat	vampire bat	A blood-sucking bat that flies at your neck hungrily.	45	1d5	3	2	5	3	erratic
area6	red spider	red spider	red spider	It is a vast red spider whose bulbous body is bloated with poison. Cunning and evil, it seeks to taste your juicy insides.	120	1d5	3	2	5	3	boss
area6	skeletal dragon	skeletal dragon	skeletal dragon	The skeletal form of a once-great dragon, enchanted by magic most perilous. Its animated form strikes with speed and wrath.	190	1d5	3	2	5	0	boss
area7	troll mage	troll mage	troll mage	A stout troll who is adept at hurling spells as easily as crunching your bones.	100	1d5	3	2	5	0	
area7	troll warrior	troll warrior	troll warrior	This troll's great strength and size make it a fearsome foe.	150	1d5	3	2	5	0	
area7	troll archer	troll archer	troll archer	A powerful troll versed in the art of archery.	120	1d5	3	2	5	0	
area7	troll rogue	troll rogue	troll rogue	A tall, thin troll who blends into the shadows before attacking viciously.	120	1d5	3	2	5	0	
area7	blue dragon	blue dragon	blue dragon	A huge draconic form. Frost covers it from head to tail, and its wintry breath chills you to the bone.	160	1d5	3	2	5	2	
area7	yellow dragon	yellow dragon	yellow dragon	A huge draconic form. Pools of acid melt the floor around it.	160	1d5	3	2	5	2	
area7	red komodo	red komodo	red komodo	A giant Komodo dragon. It has a nearly impenetrable hide of a deep red hue.	130	1d5	3	2	5	0	
area7	giant roc	giant roc	giant roc	A vast legendary bird, its iron talons rake the most impenetrable of surfaces and its screech echoes through the many winding dungeon corridors.	100	1d5	3	2	5	0	
area7	zombie	zombie	zombie	A humanoid form encased in mouldy wrappings, the result of some unspeakable spell that left him wandering the earth forever.	80	1d5	3	2	5	-1	erratic
area7	red cobra	red cobra	red cobra	A great cobra with ruby scales.	80	1d5	3	2	5	0	
area7	sandworm	sandworm	sand worm	An enormous worm with a fearsome array of crystalline teeth.	140	1d5	3	2	5	-1	
area7	two headed ogre	two headed ogre	two headed ogre	A giant orc-like figure with a two heads and an awesomely muscled frame. It regrows it heads as fast as you chop them off.	200	1d5	3	2	5	1	boss
area7	oliphant	oliphant	oliphant	A giant elephantine creature with four tusks, sharp teeth, and a foul temper.	300	1d5	3	2	5	0	boss
area8	demon mage	demon mage	demon mage	A fearsome opponent. His spells are lethal and his combat blows crushingly hard.	160	1d5	3	2	5	1	
area8	demon warrior	demon warrior	demon warrior	A demon wielding a massive sword. Feared by all when it flies into one of its berserk rages, it will cut down anything in its path.	240	1d5	3	2	5	1	
area8	demon archer	demon archer	demon archer	A demon wielding a deadly bow which he fires with deadly efficiency.	190	1d5	3	2	5	1	
area8	demon rogue	demon rogue	demon rogue	His eyes gleam with malice as he waits for unsuspecting travelers.	190	1d5	3	2	5	1	
area8	green dragon	green dragon	green dragon	A huge draconic form enveloped in clouds of poisonous vapour.	200	1d5	3	2	5	3	
area8	red dragon	red dragon	red dragon	A huge draconic form. Wisps of smoke steam from its nostrils and the extreme heat surrounding it makes you gasp for breath.	200	1d5	3	2	5	3	
area8	creeping magma	creeping magma	creeping magma	A pulsing jelly as hot as magma that flows toward you, leaving a path of destruction.	200	1d5	3	2	5	-3	
area8	lava beetle	lava beetle	lava beetle	This beetle can tunnel through solid rock with its pincers, and cut through your armor like butter.	150	1d5	3	2	5	2	erratic
area8	mumak	mumak	mumak	A massive elephantine form with eyes twisted by madness.	180	1d5	3	2	5	0	
area8	iron golem	iron golem	iron golem	It is a massive metal statue that moves steadily towards you	220	1d5	3	2	5	0	
area8	fire vortex	fire vortex	fire vortex	A towering fire vortex, burning everything beyond recognition.	160	1d5	3	2	5	3	
area8	lava dragon	lava dragon	lava dragon	An immense dragon capable of awesome destruction that dwells within pools of lava. Fire leaps continuously from its huge form. You have never felt such extreme heat, or witnessed such a scorching stare.	200	1d5	3	2	5	0	
area8	phoenix	phoenix	phoenix	A massive glowing eagle bathed in flames. The searing heat chars your skin and melts your armour.	320	1d5	3	2	5	2	boss
area8	Maeglor	Maeglor	Maeglor	Lord of the underworld, Maeglor is a massive humanoid demon wreathed in flames. His power and evil are undeniable - darkness itself recoils from his touch as he leaves a trail of death and destruction. Mighty claws rend reality as he annihilates all in his path to your soul!	480	1d5	3	2	5	3	boss
area9	alien mage	alien mage	alien mage	A great mage, incanting horribly as he advances toward you. Power seems to crackle from his slender frame.	250	1d5	3	2	5	1	
area9	alien warrior	alien warrior	alien warrior	A mighty warrior wearing armour and radiating evil power. He moves with lightning speed.	375	1d5	3	2	5	1	
area9	alien archer	alien archer	alien archer	A legendary archer who fires arrows with terrifying speed and accuracy.	300	1d5	3	2	5	1	
area9	alien rogue	alien rogue	alien rogue	A master of camouflage, this thief has great power and shifty speed.	300	1d5	3	2	5	1	
area9	ancient black dragon	ancient black dragon	ancient black dragon	A massive dragon, one of the mightiest of dragonkind. It is thousands of years old and seeks to maintain the Cosmic Balance. It will destroy you.	450	1d5	3	2	5	5	
area9	ancient gold dragon	ancient gold dragon	ancient gold dragon	A huge draconic form wreathed in a nimbus of light. Its roar stuns and deafens you.	450	1d5	3	2	5	5	
area9	master vampire	master vampire	master vampire	A terrible robed undead figure, this creature has existed in its unlife for many centuries by stealing the life of others.	350	1d5	3	2	5	5	
monster	beholder	beholder	beholder	A beholder of great size and age, floating in the air. His gaze seems to shred your soul and his spells crush your will.	180	1d5	3	2	5	0	
area9	magic whirlwind	magic whirlwind	magic whirlwind	An awesome vortex of pure magic that twists and tears at the fabric of space.	220	1d5	3	2	5	3	erratic
area9	djinn	djinn	djinn	Free from his lamp, this creature uses his powerful magics to exact revenge upon the world for his entrapment.	300	1d5	3	2	5	0	
area9	spike dog	spike dog	spike dog	A great hound with spines along his back. He growls as you enter his territory, then ferociously lashes his spiked tail.	280	1d5	3	2	5	2	
area9	Lugorith	Lugorith	Lugorith	The lord of chaos, Lugorith is a massive dragon of changing form. As you watch, it appears first fair and then foul. Its body is twisted by chaotic forces as it strives to stay real. Its very existence distorts the universe around it.	600	1d5	3	2	5	9	boss
area9	evil incarnate	evil incarnate	evil incarnate	A massive form cloaked in flame. His skeletal visage is twisted with evil, as he seeks forever to dominate all that is light and good in the world. He is the origin of man's fear of darkness and has created many foul creatures with his evil powers. He holds a great staff in his hand, and strides forward to destroy you.	800	1d5	3	2	5	9	boss
ocean	goldfish	goldfish	goldfish	It looks just like the goldfish you used to keep in a glass bowl when you were a kid, but bigger.	5	1d5	3	2	5	0	erratic
ocean	green fish	green fish	green fish	Barracuda, known for their large size, fearsome appearance and ferocious behaviour.	10	1d5	3	2	5	0	erratic
ocean	eel	eel	eel	An electric eel slipping through the water.	20	1d5	3	2	5	1	
ocean	pink jellyfish	pink jellyfish	pink jellyfish	A large pink jellyfish. It looks poisonous.	15	1d5	3	2	5	-2	erratic
ocean	copper jellyfish	copper jellyfish	copper jellyfish	A copper-colored jellyfish; it has a large bell and long tentacles.	25	1d5	3	2	5	-2	erratic
ocean	scaryfish	scaryfish	scaryfish	This fish has long teeth and spiky fins that look like a mohawk.	50	1d5	3	2	5	2	
ocean	water whirlwind	water whirlwind	water whirlwind	A towering water elemental, sending wave after wave toward your frail body.	80	1d5	3	2	5	2	erratic
ocean	octopus	octopus	octopus	A primeval creature with tentacles 20 feet long.	150	1d5	3	2	5	0	
ocean	medusa	medusa	medusa	A hideous gorgon, with venom dripping from her ghastly mouth.	120	1d5	3	2	5	1	
ocean	sea dragon	sea dragon	sea dragon	A mighty sea dragon, with great horns and a long tail.	200	1d5	3	2	5	1	
island	yellow turtle	yellow turtle	yellow turtle	A turtle with a yellow shell.	30	1d5	3	2	5	-1	
island	red turtle	red turtle	red turtle	A turtle with a red shell.	40	1d5	3	2	5	-1	
